Referencia;Nombre;Categoría;Precio Compra;Valor Actual;Observaciones;Ruta Imagen
71269;Astétix;Historia;9.99;16.99;Figura de Astérix cortando una tarta;imagen/asterixtarta.png
70012;Maletín oeste;Oeste;19.99;24.99;Maletín con oficina del sheriff y el banco;imagen/maletinoeste.jpg
70999;Barco Rojo;Piratas;24.99;39.99;;
70013;Maletín oeste2;Oeste;24.99;29.99;;
69810;Alejandro;Ciudad;59.99;89.99;;C:\Users\board\OneDrive\Escritorio\Foto perfil.jpeg
87590;Jean;Ghostbusters;18.3;19.3;;C:\Users\board\OneDrive\Escritorio\poli.jpg
775755;Cate;Fire Rescue;580.0;600.0;Prueba catogorias;C:\Users\board\OneDrive\Escritorio\Fotos playmobil\poli.jpg
888888;lo;Oeste;10.2;9.2;;
4114141;hjkhjk;Piratas;47.8;10.8;;
1441717;jols;City Life;47.0;12.0;holapol;null
